date,stockcode,sector,foreign_percentage,price_return_10d,cumsumnetvalue_ma10,positive_net_ratio_10d
2025-12-30,BBRI,BANK,30.29,0.008264462809917328,-41404618856815.19,0.2
2025-12-30,BBCA,BANK,35.05,0.009374999999999911,-27077841772196.445,0.3
2025-12-30,BMRI,BANK,31.98,0.05809128630705396,-14916369405730.777,0.8
2025-12-30,ADRO,COAL MINING,18.13,0.016853932584269593,-6170681368606.362,0.5
2025-12-30,KLBF,PHARMACEUTICALS,24.42,0.0387931034482758,-2936811006756.7764,0.6
2025-12-30,BUMI,METAL AND MINERAL MINING,81.81,-0.005434782608695676,-2313715560752.0967,0.3
2025-12-30,GOTO,COMPUTER AND SERVICES,72.22,-0.030303030303030276,-2120690270066.4597,0.2
2025-12-30,TOWR,NON BUILDING CONSTRUCTION,20.34,0.08333333333333326,-2038154970318.3445,0.9
2025-12-30,INCO,METAL AND MINERAL MINING,52.4,0.34765625,-1677391493084.5251,0.9
2025-12-30,BBNI,BANK,24.52,0.030660377358490587,-1637566928971.6555,0.4
2025-12-30,AVIA,OTHER - BASIC INDUSTRY AND CHEMICALS,19.56,0.05648535564853563,-1600701931357.337,0.4
2025-12-30,SSIA,BUILDING CONSTRUCTION,31.34,-0.03724928366762181,-1482695702617.306,0.6
2025-12-30,INKP,PULP & PAPER,19.75,0.03658536585365857,-1477473345905.6104,0.6
2025-12-30,MDKA,METAL AND MINERAL MINING,21.33,0.01333333333333342,-1475066562557.5684,0.5
2025-12-30,BTPS,BANK,11.92,0.004166666666666652,-1378027642949.7761,0.5
2025-12-30,SMGR,CEMENT,30.95,-0.04693140794223827,-1312761590182.245,0.3
2025-12-30,MTEL,TELECOMUNICATION,15.08,0.14754098360655732,-1297266786788.5417,0.0
2025-12-30,MBMA,METAL AND MINERAL MINING,12.19,0.06542056074766345,-1183104012239.648,0.6
2025-12-30,EMTK,INVESTMENT COMPANY,22.55,-0.19926199261992616,-1112672463337.3064,0.6
2025-12-30,ITMG,COAL MINING,16.35,0.0069044879171460405,-1106133550056.7273,0.3
2025-12-30,SCMA,"ADVERTISING,PRINTING and MEDIA",4.28,-0.21028037383177567,-1027960280903.135,0.3
2025-12-30,MNCN,"ADVERTISING,PRINTING and MEDIA",22.33,0.0,-1025721243085.0286,0.8
2025-12-30,TSPC,PHARMACEUTICALS,2.8,0.028880866425992746,-819926336439.3171,0.2
2025-12-30,PNLF,OTHERS - FINANCE,15.44,-0.007692307692307665,-787665823859.2799,0.4
2025-12-30,BRPT,CHEMICALS,24.11,-0.1185983827493261,-781085259377.5105,0.3
2025-12-30,AKRA,WHOLESALE (DURABLE & NON DURABLE GOODS),22.56,0.020242914979757165,-769236896190.8143,0.8
2025-12-30,TBIG,NON BUILDING CONSTRUCTION,84.48,0.41052631578947363,-763251795927.759,0.1
2025-12-30,HEAL,HEALTH CARE,25.08,-0.04513888888888884,-734883516015.641,0.2
2025-12-30,UNVR,COSMETICS AND HOUSEHOLD,7.66,-0.011406844106463865,-728021785222.8674,0.7
2025-12-30,PTBA,COAL MINING,9.99,0.022123893805309658,-718576212160.8105,0.6
2025-12-30,ICBP,FOOD & BEVERAGES,12.81,0.015479876160990669,-717030033699.5549,0.7
2025-12-30,GGRM,TOBACCO MANUFACTURERS,5.61,0.03512014787430684,-706788960818.1814,0.5
2025-12-30,MAPI,RETAIL TRADE,35.6,-0.021008403361344574,-687140254304.6283,0.6
2025-12-30,HMSP,TOBACCO MANUFACTURERS,0.69,-0.006849315068493178,-672259396279.0511,0.8
2025-12-30,NISP,BANK,88.69,0.014814814814814836,-631888004466.9958,0.6
2025-12-30,LPPF,RETAIL TRADE,60.69,0.042944785276073594,-597416725993.5878,0.6
2025-12-30,SMRA,PROPERTY AND REAL ESTATE,16.54,0.03243243243243232,-587719187809.1409,0.1
2025-12-30,PGEO,CRUDE PETROLEUM & NATURAL GAS PROD.,16.78,-0.03433476394849788,-553366206680.5295,0.5
2025-12-30,GIAA,TRANSPORTATION,15.94,-0.1009174311926605,-536314075656.9256,0.2
2025-12-30,ARCI,METAL AND MINERAL MINING,1.4,-0.055393586005830886,-522501115861.2917,0.3
2025-12-30,PWON,PROPERTY AND REAL ESTATE,22.49,-0.01744186046511631,-512608799809.78595,0.1
2025-12-30,INDY,NON BUILDING CONSTRUCTION,5.87,0.128463476070529,-458116305480.01483,0.8
2025-12-30,INTP,CEMENT,79.97,0.08333333333333326,-429410981947.9983,0.8
2025-12-30,BYAN,COAL MINING,43.53,-0.08985507246376812,-423295153780.912,0.1
2025-12-30,PNBN,BANK,45.06,0.0046511627906977715,-419902370213.5741,0.4
2025-12-30,MYOR,FOOD & BEVERAGES,7.71,0.004716981132075526,-419730795084.13354,0.6
2025-12-30,DMAS,PROPERTY AND REAL ESTATE,5.73,-0.007692307692307665,-400135883749.4296,0.1
