,date,sub_sector,close,foreignbuyvalue,foreignsellvalue,foreignnetvalue,cumsumnetvalue,cumsumnetvalue_ma5,cumsumnetvalue_ma10,cumsumnetvalue_ma20,foreignnetvalue_ma10,foreignnetvalue_ma20,ma5_slope,ma10_slope,flow_phase,positive_net_ratio_10d,price_return_10d,vision_group,relevancy,source,target,rsi_daily,rsi_weekly,rsi_monthly
711,2025-12-30,"advertising,printing and media",8122.902416673114,242075989123.6746,117164671119.55977,124911318004.11482,-63216916511731.445,-63362418907588.414,-63447922069852.266,-63560222365560.2,35255619725.24393,26008980762.155968,59071149849.83594,35255619725.234375,Accumulation,0.8,6.453320087226122,,,,,68.82807177864859,49.417657464430384,56.73923633344499
1423,2025-12-30,animal feed,3208.3638415666883,23773822949.40967,13917419969.819622,9856402979.59005,-63207060108751.85,-63301531682596.27,-63411704217870.89,-63534279607682.234,36217851981.3753,25942757877.953957,60887224992.140625,36217851981.375,Accumulation,0.8,1.5641019360702382,Agriculture,High,Menjamin harga pangan yang menguntungkan peternak,4 juta ha tambahan luas panen tercapai 2029,50.352923882412334,55.56043419828748,47.27647757326674
2135,2025-12-30,animal husbandry,432.6944318409237,9148146834.966553,9023322927.77468,124823907.19187355,-63206935284844.66,-63262902544689.875,-63376193452617.61,-63508331062724.586,35510765253.2751,25948544957.659706,38629137906.39844,35510765253.28125,Accumulation,0.8,1.816981235278393,Agriculture,High,Kredit usaha tani untuk peternakan,"3 juta rumah dibangun, 40 rumah per desa/kelurahan per tahun",54.41646507623501,49.37082782677658,61.40453961706712
2847,2025-12-30,automotive and components,4358.791145915852,127464941490.75034,75273134375.10034,52191807115.649994,-63154743477729.01,-63225496642558.5,-63340444008432.42,-63479896146094.29,35749444185.18846,28434916630.293446,37405902131.375,35749444185.1875,Accumulation,0.8,1.7984476345960072,Green Energy,Medium,Pengembangan industri manufaktur untuk produk hilirisasi,B50 biodiesel dan E10 ethanol pada 2029,44.5544527321441,56.63928790924212,58.61839093825551
3559,2025-12-30,bank,5002.719997542287,973967478665.3662,1419991793444.14,-446024314778.7737,-63600767792507.78,-63277284635112.95,-63349387346275.586,-63472784886917.08,-8943337843.17251,7111259177.208341,-51787992554.453125,-8943337843.164062,Distribution,0.7,2.3628889469919545,Finance,Medium,Dorong perbankan nasional untuk produk pembiayaan industri digital,Rasio penerimaan negara terhadap PDB capai 23%,49.590573161014795,50.30170689691655,44.39790669103428
4271,2025-12-30,building construction,653.2917091599218,19833805594.227596,16538213210.717932,3295592383.5096645,-63597472200124.27,-63353395772791.516,-63357907340189.96,-63466736163304.266,-8519993914.370745,6048723612.815419,-76111137678.5625,-8519993914.375,Distribution,0.8,-0.9019355422931794,Infrastructure,High,Target membangun 3 juta rumah,3 juta rumah mulai tahun kedua pemerintahan,41.48615680639441,47.638247887074385,51.316365018708154
4983,2025-12-30,cable,687.0344475978372,47944869.09701367,6905032.356902357,41039836.74011131,-63597431160287.53,-63431469983098.65,-63366500832847.46,-63461807486404.55,-8593492657.498701,4928676899.704145,-78074210307.13281,-8593492657.5,Distribution,0.8,-0.745446515907123,Telecom & Digital Infra,Medium,Tidak ada desa yang tidak terakses internet,100% digital coverage (implied target),49.29025476884128,45.4406614868702,49.087974272639464
5695,2025-12-30,cement,5143.04053078212,15418942197.842707,22159327670.66585,-6740385472.823145,-63604171545760.35,-63510917235281.79,-63386909889985.83,-63460347504557.69,-20409057138.368057,1459981846.8786817,-79447252183.14062,-20409057138.367188,Distribution,0.7,3.83328143306312,Infrastructure,High,Membangun dan memperbaiki jalan daerah,">320,000 km jalan desa, >2,000 km jalan tol",65.11148897061342,49.40373123819462,42.31193936261228
6407,2025-12-30,"ceramics, glass, porcelain",462.2859691324565,27304622.96302627,163966699.89141417,-136662076.92838788,-63604308207837.28,-63600830181303.45,-63413163411930.98,-63460635573835.08,-26253521945.1436,-288069277.38995373,-89912946021.66406,-26253521945.148438,Distribution,0.6,-0.9811305994311942,Infrastructure,Medium,Material pendukung program rumah dan infrastruktur,3 juta rumah (indirect driver),46.098131744026546,49.012822978854956,46.78597028623351
7119,2025-12-30,chemicals,3501.807390112764,55607777721.211266,86240993868.43564,-30633216147.224373,-63634941423984.51,-63607664907598.79,-63442474771355.875,-63462826230466.69,-29311359424.895252,-2190656631.6188736,-6834726295.3359375,-29311359424.898438,Distribution,0.6,8.89881968778262,Agriculture / Energy,Medium,Pengembangan industri pupuk bio,"Pupuk bio dikembangkan nasional, volume not specified",46.128819172737394,50.67155989507389,51.19417858743506
