Segment,Metric,ULTJ,ICBP,PGUN,CPIN,INDF,MYOR,CMRY,TAPG,JARR,JPFA,FAPA
Quality,Return On Invested Capital (TTM),0.132,0.1067,0.0849,0.1099,0.0962,0.1096,0.2426,0.262,0.11320000000000001,0.12539999999999998,0.1681
Quality,Return on Equity (TTM),0.155,0.1225,0.0862,0.1471,0.1105,0.1638,0.2743,0.37329999999999997,0.17579999999999998,0.196,0.2998
Quality,Operating Profit Margin (Quarter),0.1957,0.19079999999999997,0.15380000000000002,0.0363,0.1686,0.0907,0.2426,0.3358,0.1015,0.0757,0.22
Quality,Current EPS (TTM),116.97,517.78,28.26,286.08,884.04,126.77,247.59,210.69,35.68,284.34,273.0
Growth,Revenue (Quarter YoY Growth),0.0084,0.0076,0.18170000000000003,0.046900000000000004,0.050300000000000004,-0.0059,0.2268,0.2465,0.1459,0.1461,0.2723
Growth,Net Income (Quarter YoY Growth),1.8328,-0.6591,1.2647,1.3672,-0.5836,1.2933000000000001,0.7181000000000001,0.5141,-0.0576,0.9057999999999999,0.38520000000000004
Cash Flow,Cash From Operations (TTM),1188000000000.0,12682000000000.0,282000000000.0,6253000000000.0,17526000000000.0,2398000000000.0,2055000000000.0,3483000000000.0,310000000000.0,5380000000000.0,2043000000000.0
Cash Flow,Free cash flow (TTM),581000000000.0,9176000000000.0,243000000000.0,4557000000000.0,13216000000000.0,1218000000000.0,1578000000000.0,2857000000000.0,294000000000.0,3573000000000.0,930000000000.0
Cash Flow,Free Cashflow Per Share (TTM),55.85,1087.51,42.41,381.31,1996.02,54.46,198.9,143.89,31.89,458.78,256.23
Risk,Debt to Equity Ratio (Quarter),,0.96,0.21,0.25,1.05,0.51,,0.1,0.96,0.75,1.08
Risk,Interest Coverage (TTM),1103.68,9.34,6.54,8.83,7.12,5.79,1031.06,65.02,4.32,5.61,4.91
Risk,Net Debt (Quarter),-2517000000000.0,18235000000000.0,390000000000.0,4193000000000.0,29300000000000.0,4394000000000.0,-1215000000000.0,-536000000000.0,1551000000000.0,10167000000000.0,2832000000000.0
Risk,Current Ratio (Quarter),8.97,4.14,1.52,2.83,2.21,2.96,2.71,2.27,4.79,1.22,0.79
Risk,Altman Z-Score (Modified),19.82,2.69,4.51,5.0,2.27,6.88,9.22,8.47,4.71,1.57,1.55
Efficiency,Asset Turnover (TTM),1.02,0.56,0.35,1.57,0.57,1.23,1.2,0.82,1.08,1.56,0.74
Efficiency,Cash Conversion Cycle (Quarter),92.27,80.07,82.2,64.03,99.0,132.26,47.18,46.33,62.37,67.37,46.74
Efficiency,Inventory Turnover (TTM),4.16,6.67,8.91,6.2,4.05,3.86,5.37,5.9,7.28,4.63,4.94
Valuation,Current PE Ratio (TTM),12.82,16.8,514.02,16.32,8.37,16.8,22.92,8.92,109.57,8.83,22.53
Valuation,PEG Ratio,-4.61,8.8,-19.24,0.33,1.01,-2.77,1.03,0.09,0.57,0.05,0.09
